patient_id,traffic_source,device
1,Direct,IOS 15.4
2,Apple Ads,IOS 13.2
3,Direct,IOS 17.0
4,Direct,IOS 16.0
5,Apple Ads,Android 12.0
6,Apple Ads,Android 12.0
7,Referral,Android 9.4
8,Direct,IOS 12.4
9,Organic Search,IOS 17.5
10,Apple Ads,IOS 16.2
11,Meta Ads,IOS 14.1
12,Organic Search,Android 11.4
13,Referral,IOS 16.5
14,Direct,Android 9.5
15,Referral,IOS 13.2
16,Referral,Android 9.5
17,Organic Search,IOS 16.0
18,Organic Search,Android 12.4
19,Direct,Android 11.5
20,Apple Ads,IOS 17.1
21,Organic Search,IOS 16.5
22,Direct,Android 10.5
23,Direct,Android 10.5
24,Organic Search,IOS 18.2
25,Organic Search,Android 11.0
26,Direct,Android 11.4
27,Organic Search,Android 8.3
28,Google Ads,Android 9.1
29,Direct,IOS 14.2
30,Meta Ads,IOS 15.2
31,Direct,Android 12.4
32,Organic Search,IOS 12.5
33,Apple Ads,IOS 17.1
34,Direct,Android 9.5
35,Referral,Android 10.2
36,Google Ads,IOS 13.0
37,Organic Search,Android 9.3
38,Referral,Android 11.5
39,Google Ads,IOS 18.0
40,Referral,IOS 18.4
41,Referral,Android 11.0
42,Organic Search,IOS 12.4
43,Organic Search,Android 9.4
44,Meta Ads,IOS 18.0
45,Referral,Android 8.4
46,Organic Search,IOS 17.1
47,Google Ads,Android 8.1
48,Referral,Android 10.3
49,Apple Ads,IOS 17.1
50,Direct,IOS 16.2
51,Apple Ads,IOS 17.3
52,Referral,IOS 14.3
53,Organic Search,Android 10.4
54,Organic Search,IOS 12.2
55,Referral,IOS 16.4
56,Google Ads,Android 9.4
57,Referral,IOS 12.1
58,Direct,IOS 12.0
59,Organic Search,IOS 17.4
60,Direct,IOS 18.1
61,Direct,Android 8.3
62,Referral,Android 8.5
63,Direct,Android 11.5
64,Referral,IOS 18.1
65,Organic Search,Android 11.3
66,Organic Search,IOS 13.2
67,Referral,Android 11.4
68,Referral,Android 10.0
69,Organic Search,IOS 17.3
70,Meta Ads,IOS 18.4
71,Referral,Android 8.5
72,Referral,Android 12.4
73,Organic Search,IOS 13.2
74,Referral,IOS 18.2
75,Referral,IOS 17.2
76,Meta Ads,IOS 12.2
77,Meta Ads,Android 12.5
78,Referral,IOS 15.0
79,Apple Ads,IOS 17.1
80,Direct,IOS 17.1
81,Referral,Android 9.4
82,Direct,Android 10.4
83,Referral,IOS 13.4
84,Direct,IOS 15.3
85,Organic Search,IOS 14.3
86,Referral,IOS 17.0
87,Direct,IOS 16.2
88,Direct,Android 11.4
89,Organic Search,Android 11.0
90,Google Ads,IOS 18.2
91,Direct,IOS 13.3
92,Direct,Android 11.3
93,Apple Ads,IOS 15.2
94,Google Ads,IOS 18.4
95,Referral,Android 10.3
96,Referral,IOS 18.0
97,Referral,Android 10.4
98,Referral,IOS 18.5
99,Organic Search,IOS 15.4
100,Google Ads,Android 9.5
101,Organic Search,Android 12.0
102,Referral,IOS 17.0
103,Referral,Android 11.4
104,Direct,Android 12.4
105,Direct,IOS 16.2
106,Organic Search,Android 9.0
107,Direct,Android 11.1
108,Referral,Android 9.5
109,Referral,Android 10.1
110,Referral,Android 10.4
111,Direct,IOS 12.4
112,Apple Ads,IOS 17.1
113,Direct,IOS 16.2
114,Organic Search,Android 8.1
115,Direct,Android 11.0
116,Organic Search,Android 12.1
117,Referral,IOS 15.3
118,Direct,Android 8.3
119,Meta Ads,IOS 16.2
120,Meta Ads,Android 8.1
121,Google Ads,Android 11.0
122,Google Ads,Android 10.1
123,Referral,Android 10.3
124,Meta Ads,Android 8.3
125,Referral,Android 9.2
126,Referral,IOS 15.2
127,Direct,Android 12.2
128,Direct,Android 11.3
129,Referral,IOS 17.1
130,Meta Ads,IOS 17.5
131,Organic Search,IOS 17.4
132,Meta Ads,Android 9.2
133,Referral,IOS 18.4
134,Organic Search,IOS 15.4
135,Organic Search,Android 10.2
136,Direct,IOS 14.0
137,Meta Ads,IOS 14.5
138,Direct,Android 10.5
139,Referral,Android 11.4
140,Direct,IOS 15.2
141,Organic Search,Android 12.2
142,Referral,IOS 18.1
143,Referral,IOS 14.2
144,Organic Search,IOS 13.4
145,Referral,IOS 12.3
146,Direct,Android 8.0
147,Direct,IOS 17.4
148,Apple Ads,IOS 13.0
149,Meta Ads,Android 9.2
150,Meta Ads,IOS 17.0
151,Direct,IOS 17.0
152,Direct,Android 11.3
153,Meta Ads,IOS 16.0
154,Referral,IOS 12.0
155,Direct,IOS 17.0
156,Organic Search,IOS 16.3
157,Direct,IOS 12.5
158,Meta Ads,Android 11.2
159,Organic Search,IOS 17.3
160,Organic Search,IOS 14.2
161,Meta Ads,Android 8.0
162,Direct,IOS 18.2
163,Direct,IOS 13.2
164,Meta Ads,IOS 17.1
165,Meta Ads,Android 10.5
166,Meta Ads,IOS 12.5
167,Meta Ads,Android 10.0
168,Direct,Android 11.3
169,Referral,Android 10.3
170,Organic Search,IOS 12.1
171,Referral,Android 10.4
172,Meta Ads,IOS 18.3
173,Google Ads,Android 12.0
174,Organic Search,IOS 16.3
175,Meta Ads,IOS 18.1
176,Meta Ads,Android 12.4
177,Meta Ads,Android 11.3
178,Google Ads,Android 10.4
179,Organic Search,IOS 16.1
180,Apple Ads,IOS 17.1
181,Meta Ads,IOS 17.2
182,Direct,IOS 14.0
183,Meta Ads,IOS 17.4
184,Meta Ads,IOS 14.0
185,Meta Ads,IOS 14.5
186,Google Ads,Android 12.2
187,Meta Ads,IOS 15.0
188,Organic Search,IOS 13.3
189,Meta Ads,Android 9.2
190,Referral,Android 8.4
191,Organic Search,IOS 12.0
192,Meta Ads,Android 9.1
193,Meta Ads,Android 8.5
194,Meta Ads,IOS 16.0
195,Meta Ads,IOS 15.1
196,Apple Ads,IOS 12.0
197,Meta Ads,IOS 14.1
198,Meta Ads,Android 12.4
199,Meta Ads,Android 12.2
200,Google Ads,Android 8.5
201,Meta Ads,Android 8.2
202,Referral,IOS 13.5
203,Meta Ads,Android 8.2
204,Google Ads,IOS 17.5
205,Google Ads,IOS 13.5
206,Meta Ads,Android 8.2
207,Apple Ads,IOS 17.1
208,Meta Ads,IOS 14.2
209,Meta Ads,IOS 16.5
210,Organic Search,Android 9.2
211,Meta Ads,Android 9.0
212,Meta Ads,Android 10.3
213,Apple Ads,IOS 16.2
214,Referral,Android 12.5
215,Meta Ads,IOS 18.5
216,Referral,Android 8.5
217,Direct,Android 10.0
218,Referral,Android 10.1
219,Direct,IOS 12.4
220,Google Ads,Android 10.0
221,Referral,Android 11.4
222,Google Ads,IOS 14.3
223,Meta Ads,Android 11.2
224,Meta Ads,IOS 17.1
225,Organic Search,Android 9.0
226,Meta Ads,Android 8.1
227,Direct,Android 12.4
228,Meta Ads,Android 9.0
229,Meta Ads,Android 9.3
230,Google Ads,IOS 13.0
231,Apple Ads,IOS 17.2
232,Direct,Android 8.0
233,Meta Ads,IOS 14.5
234,Organic Search,IOS 15.0
235,Direct,IOS 15.3
236,Direct,Android 9.3
237,Referral,IOS 12.3
238,Apple Ads,IOS 18.5
239,Meta Ads,IOS 16.2
240,Organic Search,Android 8.2
241,Direct,IOS 12.2
242,Referral,IOS 15.4
243,Direct,IOS 12.0
244,Referral,Android 12.4
245,Referral,Android 11.5
246,Organic Search,Android 11.5
247,Meta Ads,IOS 15.4
248,Meta Ads,Android 11.0
249,Referral,Android 12.0
250,Organic Search,Android 12.3
251,Meta Ads,IOS 12.5
252,Referral,IOS 16.5
253,Meta Ads,Android 11.4
254,Apple Ads,IOS 17.1
255,Meta Ads,IOS 12.1
256,Meta Ads,IOS 14.0
257,Referral,IOS 16.1
258,Referral,Android 9.3
259,Meta Ads,Android 10.1
260,Meta Ads,IOS 15.5
261,Direct,Android 8.1
262,Referral,IOS 13.1
263,Direct,Android 11.5
264,Meta Ads,Android 8.5
265,Apple Ads,IOS 17.1
266,Referral,IOS 17.1
267,Direct,IOS 14.2
268,Meta Ads,IOS 15.5
269,Google Ads,Android 10.3
270,Referral,Android 9.1
271,Direct,Android 9.4
272,Google Ads,Android 9.3
273,Referral,IOS 13.5
274,Referral,Android 8.4
275,Referral,Android 11.3
276,Organic Search,Android 10.0
277,Meta Ads,IOS 18.4
278,Meta Ads,IOS 14.3
279,Referral,IOS 17.1
280,Meta Ads,IOS 15.2
281,Direct,IOS 14.1
282,Direct,IOS 18.5
283,Direct,Android 11.3
284,Referral,Android 9.5
285,Meta Ads,IOS 13.1
286,Referral,Android 11.0
287,Direct,IOS 14.2
288,Meta Ads,IOS 16.1
289,Organic Search,Android 9.1
290,Direct,IOS 18.1
291,Direct,Android 9.5
292,Google Ads,Android 8.3
293,Meta Ads,IOS 12.0
294,Referral,IOS 18.4
295,Organic Search,IOS 17.3
296,Direct,IOS 17.1
297,Meta Ads,Android 12.3
298,Referral,IOS 15.5
299,Referral,IOS 14.3
300,Meta Ads,IOS 16.5
301,Referral,IOS 17.5
302,Meta Ads,IOS 16.3
303,Direct,Android 10.0
304,Meta Ads,IOS 16.0
305,Direct,Android 8.2
306,Direct,IOS 15.1
307,Meta Ads,IOS 16.4
308,Apple Ads,IOS 17.1
309,Meta Ads,IOS 14.1
310,Meta Ads,IOS 17.5
311,Meta Ads,Android 12.0
312,Google Ads,IOS 16.0
313,Direct,Android 9.1
314,Organic Search,IOS 17.1
315,Meta Ads,Android 11.1
316,Meta Ads,IOS 14.3
317,Referral,IOS 18.4
318,Meta Ads,IOS 18.4
319,Meta Ads,IOS 16.3
320,Meta Ads,Android 10.3
321,Referral,Android 12.4
322,Meta Ads,Android 12.1
323,Meta Ads,IOS 12.5
324,Meta Ads,IOS 17.2
325,Direct,Android 10.0
326,Organic Search,IOS 18.1
327,Meta Ads,IOS 12.2
328,Organic Search,Android 9.1
329,Meta Ads,IOS 15.2
330,Meta Ads,IOS 12.4
331,Meta Ads,IOS 13.2
332,Direct,IOS 16.4
333,Organic Search,Android 10.5
334,Apple Ads,IOS 17.1
335,Direct,IOS 18.0
336,Referral,IOS 14.5
337,Meta Ads,IOS 12.3
338,Organic Search,Android 9.1
339,Referral,IOS 12.5
340,Organic Search,IOS 12.5
341,Meta Ads,Android 9.1
342,Google Ads,IOS 13.2
343,Meta Ads,IOS 15.0
344,Meta Ads,IOS 17.2
345,Apple Ads,IOS 17.1
346,Direct,IOS 14.0
347,Direct,IOS 12.3
348,Referral,Android 11.4
349,Organic Search,Android 11.0
350,Referral,IOS 18.2
351,Meta Ads,Android 8.5
352,Meta Ads,Android 12.1
353,Meta Ads,Android 9.3
354,Organic Search,IOS 18.3
355,Organic Search,IOS 12.0
356,Referral,Android 8.0
357,Organic Search,Android 9.5
358,Direct,IOS 13.3
359,Organic Search,Android 10.0
360,Organic Search,Android 8.2
361,Apple Ads,IOS 17.1
362,Direct,Android 10.4
363,Meta Ads,Android 10.3
364,Meta Ads,Android 12.3
365,Organic Search,IOS 18.0
366,Organic Search,Android 9.4
367,Direct,Android 10.2
368,Organic Search,IOS 16.1
369,Organic Search,IOS 15.1
370,Organic Search,Android 12.2
371,Direct,IOS 17.4
372,Google Ads,IOS 14.0
373,Referral,Android 12.5
374,Direct,IOS 16.5
375,Meta Ads,IOS 17.3
376,Referral,Android 9.5
377,Meta Ads,Android 11.0
